player,college_team,college_seasons_played,career_college_passing_yards,avg_college_passing_yards_per_season,career_college_passing_tds,avg_college_passing_tds_per_season,career_college_rushing_yards,avg_college_rushing_yards_per_season,career_college_rushing_tds,avg_college_rushing_tds_per_season,career_college_completions,avg_college_completions_per_season,career_college_attempts,avg_college_attempts_per_season
"Brayden Stringer","Oklahoma State",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Brayle Brown","UL Monroe",4,854,213.5,2,0.50,116,29.0,0,0.00,80,20.0,157,39.3
"Braylon Braxton",Marshall,1,1624,1624.0,19,19.00,610,610.0,4,4.00,124,124.0,206,206.0
"Braylon Braxton","Southern Miss",1,1958,1958.0,18,18.00,215,215.0,1,1.00,159,159.0,237,237.0
"Braylon Braxton",Tulsa,3,1345,448.3,12,4.00,357,119.0,6,2.00,114,38.0,214,71.3
"Brayten Silbor",Lehigh,2,1928,964.0,10,5.00,74,37.0,4,2.00,167,83.5,335,167.5
"Breck Ruddick","Missouri State",1,101,101.0,1,1.00,5,5.0,0,0.00,14,14.0,24,24.0
"Brendan Anderson","Southern Utah",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Brendan Bognar","Murray State",2,56,28.0,0,0.00,7,3.5,0,0.00,7,3.5,15,7.5
"Brendan Cross","Wake Forest",3,16,5.3,0,0.00,69,23.0,0,0.00,5,1.7,14,4.7
"Brendan Greene",Hampton,1,10,10.0,0,0.00,2,2.0,0,0.00,1,1.0,9,9.0
"Brendan Langley",Lamar,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Brendan Nosovitch","South Carolina",1,13,13.0,0,0.00,12,12.0,1,1.00,2,2.0,2,2.0
"Brendan Sorsby",Cincinnati,2,4642,2321.0,37,18.50,870,435.0,16,8.00,381,190.5,592,296.0
"Brendan Sorsby",Indiana,2,1590,795.0,15,7.50,283,141.5,4,2.00,138,69.0,242,121.0
"Brendan Sullivan",Iowa,1,474,474.0,3,3.00,151,151.0,4,4.00,38,38.0,53,53.0
"Brendan Sullivan",Northwestern,2,1303,651.5,10,5.00,257,128.5,3,1.50,134,67.0,195,97.5
"Brendan Sullivan",Tulane,1,201,201.0,2,2.00,52,52.0,0,0.00,18,18.0,27,27.0
"Brenden Gaskins",BYU,2,104,52.0,0,0.00,-2,-1.0,0,0.00,9,4.5,16,8.0
