player,college_team,college_seasons_played,career_college_passing_yards,avg_college_passing_yards_per_season,career_college_passing_tds,avg_college_passing_tds_per_season,career_college_rushing_yards,avg_college_rushing_yards_per_season,career_college_rushing_tds,avg_college_rushing_tds_per_season,career_college_completions,avg_college_completions_per_season,career_college_attempts,avg_college_attempts_per_season
"Dalton Sturm",UTSA,4,5768,1442.0,49,12.25,1227,306.8,7,1.75,482,120.5,811,202.8
"Dalton Williams",Akron,1,3387,3387.0,25,25.00,-125,-125.0,0,0.00,326,326.0,522,522.0
"Dalton Williams","Stephen F. Austin",2,19,9.5,0,0.00,-22,-11.0,0,0.00,6,3.0,11,5.5
"DaMarcus Smith","North Texas",1,1010,1010.0,8,8.00,427,427.0,2,2.00,99,99.0,212,212.0
"Damarcus Smith","Western Kentucky",1,33,33.0,0,0.00,51,51.0,0,0.00,2,2.0,5,5.0
"Damian Williams","Mississippi State",3,706,235.3,5,1.67,274,91.3,2,0.67,68,22.7,117,39.0
"Damian Williams","Texas State",1,2061,2061.0,12,12.00,113,113.0,5,5.00,194,194.0,333,333.0
"Damien Fleming","Florida A&M",4,288,72.0,1,0.25,-19,-4.8,0,0.00,29,7.3,57,14.3
"Damion May","Alabama A&M",3,166,55.3,0,0.00,-8,-2.7,0,0.00,20,6.7,38,12.7
"Damion Terry","Michigan State",4,356,89.0,1,0.25,246,61.5,2,0.50,36,9.0,76,19.0
"Damon Stewart","Alabama State",1,1536,1536.0,11,11.00,31,31.0,1,1.00,116,116.0,180,180.0
"Dan Collins",Maine,4,697,174.3,3,0.75,-6,-1.5,1,0.25,63,15.8,131,32.8
"Dan Ellington","Georgia State",2,4566,2283.0,34,17.00,1303,651.5,11,5.50,401,200.5,647,323.5
"Dan LeFevour","Central Michigan",4,12905,3226.3,102,25.50,2948,737.0,47,11.75,1171,292.8,1763,440.8
"Dan Persa",Northwestern,4,5181,1295.3,34,8.50,716,179.0,10,2.50,460,115.0,633,158.3
"Dane Evans",Tulsa,4,11680,2920.0,84,21.00,72,18.0,10,2.50,904,226.0,1577,394.3
"Daniel Beale",Louisiana,2,511,255.5,1,0.50,17,8.5,0,0.00,55,27.5,114,57.0
"Daniel Bridge-Gadd",Washington,1,NULL,NULL,NULL,NULL,-1,-1.0,0,0.00,NULL,NULL,NULL,NULL
"Daniel Britt",Montana,1,269,269.0,2,2.00,183,183.0,1,1.00,26,26.0,38,38.0
"Daniel Britt","Northern Arizona",1,57,57.0,2,2.00,75,75.0,0,0.00,3,3.0,4,4.0
"Daniel Britt","Northern State",1,60,60.0,0,0.00,20,20.0,0,0.00,8,8.0,11,11.0
"Daniel Croghan III","Charleston Southern",1,8,8.0,0,0.00,4,4.0,0,0.00,3,3.0,8,8.0
"Daniel David","Kennesaw State",1,185,185.0,0,0.00,74,74.0,2,2.00,8,8.0,21,21.0
"Daniel Duhart","Alabama State",1,97,97.0,1,1.00,-9,-9.0,0,0.00,8,8.0,23,23.0
"Daniel Epperson","Delaware State",1,7,7.0,0,0.00,-5,-5.0,0,0.00,3,3.0,9,9.0
"Daniel Greek","Tarleton State",3,986,328.7,9,3.00,79,26.3,3,1.00,71,23.7,114,38.0
"Daniel Imhoff","NC State",2,14,7.0,0,0.00,0,0.0,0,0.00,2,1.0,3,1.5
"Daniel Jones",Duke,3,8160,2720.0,51,17.00,1268,422.7,17,5.67,757,252.3,1260,420.0
"Daniel Kaelin",Virginia,1,194,194.0,1,1.00,4,4.0,0,0.00,12,12.0,24,24.0
"Daniel Karlin",Duke,1,NULL,NULL,NULL,NULL,1,1.0,1,1.00,NULL,NULL,NULL,NULL
"Daniel Kniffin","Sacramento State",2,216,108.0,0,0.00,1,0.5,0,0.00,23,11.5,43,21.5
"Daniel Lipovski",Delaware,2,36,18.0,0,0.00,3,1.5,0,0.00,2,1.0,6,3.0
"Daniel Parr",Duquesne,1,236,236.0,4,4.00,24,24.0,1,1.00,29,29.0,53,53.0
"Daniel Parr","Florida Atlantic",2,694,347.0,4,2.00,39,19.5,2,1.00,58,29.0,111,55.5
"Daniel Raudabaugh","Miami (OH)",4,5038,1259.5,22,5.50,-32,-8.0,0,0.00,478,119.5,859,214.8
"Daniel Richardson","Central Michigan",4,5288,1322.0,42,10.50,-86,-21.5,1,0.25,428,107.0,729,182.3
"Daniel Richardson","Florida A&M",1,2662,2662.0,23,23.00,-16,-16.0,0,0.00,231,231.0,330,330.0
"Daniel Richardson","Florida Atlantic",1,2001,2001.0,13,13.00,-62,-62.0,0,0.00,208,208.0,318,318.0
"Daniel Sams","Kansas State",2,507,253.5,4,2.00,1042,521.0,14,7.00,44,22.0,61,30.5
"Daniel Sams",McNeese,1,59,59.0,0,0.00,74,74.0,0,0.00,3,3.0,9,9.0
"Daniel Santacaterina","Northern Illinois",2,1073,536.5,8,4.00,83,41.5,1,0.50,80,40.0,135,67.5
"Daniel Santacaterina","Southeast Missouri State",2,134,67.0,1,0.50,-16,-8.0,0,0.00,17,8.5,35,17.5
"Daniel Shock",Mercer,1,52,52.0,1,1.00,13,13.0,0,0.00,4,4.0,7,7.0
"Daniel Smith",Campbell,1,218,218.0,1,1.00,15,15.0,1,1.00,16,16.0,34,34.0
"Daniel Smith",Villanova,1,222,222.0,2,2.00,-18,-18.0,0,0.00,20,20.0,34,34.0
"Daniel Thompson",Elon,2,372,186.0,0,0.00,4,2.0,1,0.50,36,18.0,64,32.0
"Danny Cameron",Indiana,1,65,65.0,0,0.00,-13,-13.0,0,0.00,6,6.0,16,16.0
"Danny Carollo",Purdue,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Danny Clark",Kentucky,1,NULL,NULL,NULL,NULL,4,4.0,1,1.00,NULL,NULL,NULL,NULL
"Danny Etling",LSU,2,4586,2293.0,27,13.50,174,87.0,3,1.50,325,162.5,544,272.0
"Danny Etling",Purdue,2,2490,1245.0,16,8.00,-104,-52.0,4,2.00,238,119.0,429,214.5
"Danny Lauter",Georgetown,3,2898,966.0,19,6.33,21,7.0,0,0.00,262,87.3,428,142.7
"Danny O'Brien",Maryland,2,4086,2043.0,29,14.50,9,4.5,3,1.50,342,171.0,603,301.5
"Danny O'Brien",Wisconsin,1,523,523.0,3,3.00,-82,-82.0,0,0.00,52,52.0,86,86.0
"Danny O'Neil","San Diego State",1,2181,2181.0,12,12.00,89,89.0,1,1.00,209,209.0,330,330.0
"Danny O'Neil",Wisconsin,1,635,635.0,5,5.00,28,28.0,1,1.00,61,61.0,88,88.0
"Danny Sullivan","Arizona State",4,2348,587.0,13,3.25,-37,-9.3,3,0.75,208,52.0,399,99.8
"Danny Vanden Boom",Wisconsin,1,3,3.0,1,1.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Dantavious Parker","Texas Southern",1,106,106.0,1,1.00,-12,-12.0,0,0.00,7,7.0,20,20.0
"Dantavious Parker",Troy,1,87,87.0,0,0.00,154,154.0,2,2.00,10,10.0,19,19.0
"Dante Casciola",Dayton,2,1511,755.5,9,4.50,284,142.0,3,1.50,134,67.0,214,107.0
"Dante Chachere","Portland State",4,5490,1372.5,47,11.75,1960,490.0,29,7.25,439,109.8,722,180.5
"Dante Moore",Oregon,2,1821,910.5,19,9.50,137,68.5,0,0.00,152,76.0,211,105.5
"Dante Moore",UCLA,1,1610,1610.0,11,11.00,-83,-83.0,0,0.00,114,114.0,213,213.0
"Dante Nania","Youngstown State",1,177,177.0,0,0.00,46,46.0,0,0.00,11,11.0,24,24.0
"Dante Perri",Lehigh,4,3061,765.3,21,5.25,116,29.0,4,1.00,287,71.8,510,127.5
"Dante Reno",Yale,1,1226,1226.0,10,10.00,45,45.0,0,0.00,103,103.0,157,157.0
"Dante Torres",Harvard,2,156,78.0,1,0.50,6,3.0,1,0.50,8,4.0,13,6.5
"Dante Vandeven","Southeast Missouri State",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,3,3.0
"Darell Garretson","Oregon State",2,2082,1041.0,9,4.50,226,113.0,6,3.00,201,100.5,367,183.5
"Darell Garretson","Utah State",2,2586,1293.0,18,9.00,37,18.5,2,1.00,217,108.5,344,172.0
"Darian Mensah",Duke,1,2211,2211.0,17,17.00,-61,-61.0,0,0.00,175,175.0,249,249.0
"Darian Mensah",Tulane,1,2723,2723.0,22,22.00,132,132.0,1,1.00,189,189.0,287,287.0
"Darian Stone","Tennessee Tech",3,113,37.7,1,0.33,47,15.7,0,0.00,15,5.0,30,10.0
"Darius Curry","Colorado State",1,163,163.0,1,1.00,19,19.0,0,0.00,14,14.0,21,21.0
"Darius Ocean","Western Kentucky",2,135,67.5,2,1.00,-20,-10.0,0,0.00,7,3.5,13,6.5
"Darius Perrantes",Duquesne,4,5319,1329.8,55,13.75,-30,-7.5,3,0.75,351,87.8,644,161.0
"Darius Wade","Boston College",4,1091,272.8,5,1.25,74,18.5,1,0.25,95,23.8,171,42.8
"Darius Wade","Bowling Green",1,751,751.0,3,3.00,92,92.0,0,0.00,74,74.0,130,130.0
"Darius Wilson","William & Mary",4,5826,1456.5,37,9.25,1531,382.8,15,3.75,440,110.0,712,178.0
"Daron Bryden","Stony Brook",2,1340,670.0,9,4.50,-100,-50.0,0,0.00,118,59.0,219,109.5
"Darquez Lee",Southern,1,76,76.0,0,0.00,-4,-4.0,0,0.00,8,8.0,23,23.0
"Darrel Colbert Jr.",Lamar,2,212,106.0,2,1.00,34,17.0,0,0.00,23,11.5,54,27.0
"Darrel Colbert Jr.",SMU,2,241,120.5,1,0.50,95,47.5,0,0.00,19,9.5,32,16.0
"Darren Grainger",Furman,2,404,202.0,5,2.50,85,42.5,2,1.00,27,13.5,45,22.5
"Darren Grainger","Georgia State",3,6771,2257.0,57,19.00,2134,711.3,20,6.67,553,184.3,882,294.0
"Darrien Boone","Austin Peay",1,10,10.0,0,0.00,30,30.0,0,0.00,2,2.0,7,7.0
"Darron Thomas",Oregon,3,5910,1970.0,66,22.00,715,238.3,9,3.00,449,149.7,733,244.3
"Darryl Dickey","Georgia Tech",1,NULL,NULL,NULL,NULL,9,9.0,0,0.00,NULL,NULL,NULL,NULL
"Darryl Pearson Jr.","Alabama State",2,151,75.5,0,0.00,27,13.5,0,0.00,16,8.0,35,17.5
"Daryll Clark","Penn State",4,5742,1435.5,43,10.75,619,154.8,22,5.50,444,111.0,738,184.5
"Dash Duncan",Nicholls,2,31,15.5,0,0.00,NULL,NULL,NULL,NULL,5,2.5,12,6.0
"Dasmen Stewart","San José State",2,161,80.5,0,0.00,117,58.5,1,0.50,22,11.0,54,27.0
"Dave Shinskie","Boston College",3,2670,890.0,20,6.67,-99,-33.0,1,0.33,196,65.3,386,128.7
"Davi Belfort",UCF,1,35,35.0,0,0.00,53,53.0,1,1.00,2,2.0,3,3.0
"David Ash",Texas,4,4728,1182.0,31,7.75,379,94.8,5,1.25,385,96.3,613,153.3
"David Blough",Purdue,4,9734,2433.5,69,17.25,260,65.0,13,3.25,871,217.8,1430,357.5
"David Coleman",Samford,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"David Cone",Michigan,2,75,37.5,0,0.00,NULL,NULL,NULL,NULL,4,2.0,6,3.0
"David Cornwell",Nevada,1,97,97.0,0,0.00,-9,-9.0,0,0.00,13,13.0,25,25.0
"David Fales","San José State",2,8382,4191.0,66,33.00,-132,-66.0,2,1.00,639,319.5,938,469.0
"David Fisher","Kent State",2,511,255.5,3,1.50,150,75.0,0,0.00,37,18.5,69,34.5
"David Gilbertson","Washington State",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"David Handler","Savannah St",3,87,29.0,0,0.00,-16,-5.3,0,0.00,12,4.0,33,11.0
"David Isabelle",UAB,2,303,151.5,4,2.00,684,342.0,5,2.50,29,14.5,64,32.0
"David Isreal",Bethune-Cookman,1,208,208.0,0,0.00,-4,-4.0,0,0.00,14,14.0,33,33.0
"David Kooi","Florida Atlantic",3,237,79.0,1,0.33,-27,-9.0,0,0.00,22,7.3,43,14.3
"David Lynch",Pittsburgh,1,111,111.0,0,0.00,-14,-14.0,0,0.00,16,16.0,27,27.0
"David Moore","Central Michigan",2,1143,571.5,5,2.50,-3,-1.5,1,0.50,94,47.0,164,82.0
"David Moore",Memphis,1,63,63.0,1,1.00,47,47.0,0,0.00,7,7.0,10,10.0
"David Olson",Clemson,1,-1,-1.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,3,3.0
"David Parsons","Morehead State",2,83,41.5,2,1.00,-2,-1.0,0,0.00,8,4.0,13,6.5
"David Piland",Houston,3,5790,1930.0,41,13.67,249,83.0,2,0.67,478,159.3,833,277.7
"David Pindell",UConn,2,2888,1444.0,23,11.50,1431,715.5,13,6.50,270,135.0,473,236.5
"David Rasor","UC Davis",1,15,15.0,0,0.00,37,37.0,0,0.00,2,2.0,2,2.0
"David Salmon",Campbell,1,11,11.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,6,6.0
"David Vega","New Mexico",1,63,63.0,1,1.00,117,117.0,0,0.00,6,6.0,13,13.0
"David Washington","Old Dominion",3,3991,1330.3,39,13.00,338,112.7,1,0.33,296,98.7,501,167.0
"David Watford",Virginia,3,2593,864.3,11,3.67,255,85.0,3,1.00,277,92.3,505,168.3
"Davin Garinger","Austin Peay",1,NULL,NULL,NULL,NULL,12,12.0,0,0.00,NULL,NULL,NULL,NULL
"Davin Wydner","West Georgia",2,2712,1356.0,19,9.50,612,306.0,10,5.00,229,114.5,408,204.0
"Davis Alexander","Portland State",4,1132,283.0,8,2.00,131,32.8,1,0.25,85,21.3,174,43.5
"Davis Beville",Oklahoma,2,102,51.0,0,0.00,-8,-4.0,0,0.00,15,7.5,30,15.0
"Davis Beville",Pittsburgh,2,237,118.5,1,0.50,-39,-19.5,0,0.00,22,11.0,32,16.0
"Davis Beville","South Carolina",1,46,46.0,1,1.00,2,2.0,0,0.00,5,5.0,7,7.0
"Davis Brin","Georgia Southern",1,3781,3781.0,24,24.00,-60,-60.0,1,1.00,362,362.0,552,552.0
"Davis Brin",Tulsa,4,5660,1415.0,37,9.25,9,2.3,4,1.00,410,102.5,689,172.3
"Davis Cheek",Elon,4,366,91.5,1,0.25,-32,-8.0,0,0.00,38,9.5,75,18.8
"Davis Mattingly",Kentucky,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Davis Mills",Stanford,3,3453,1151.0,18,6.00,86,28.7,3,1.00,284,94.7,435,145.0
"Davis Shanley","Tennessee Tech",1,33,33.0,0,0.00,0,0.0,0,0.00,5,5.0,10,10.0
"Davis Shanley","Western Kentucky",2,942,471.0,3,1.50,107,53.5,1,0.50,96,48.0,141,70.5
"Davis Warren",Michigan,3,1287,429.0,7,2.33,4,1.3,0,0.00,138,46.0,221,73.7
"Davis Webb",California,1,4295,4295.0,37,37.00,-110,-110.0,6,6.00,382,382.0,620,620.0
"Davis Webb","Texas Tech",3,5557,1852.3,46,15.33,10,3.3,3,1.00,459,153.0,747,249.0
"Davius Richard","North Carolina Central",3,4695,1565.0,44,14.67,1368,456.0,32,10.67,363,121.0,593,197.7
"Dax Crum",Wyoming,2,616,308.0,3,1.50,-34,-17.0,0,0.00,70,35.0,132,66.0
"Daxx Garman",Maryland,1,115,115.0,1,1.00,-13,-13.0,0,0.00,6,6.0,18,18.0
"Daxx Garman","Oklahoma State",1,2041,2041.0,12,12.00,-17,-17.0,1,1.00,152,152.0,277,277.0
"Dayne Crist",Kansas,1,1313,1313.0,4,4.00,-66,-66.0,0,0.00,103,103.0,216,216.0
"Dayne Crist","Notre Dame",3,2327,775.7,16,5.33,74,24.7,4,1.33,199,66.3,338,112.7
"De'Andre Johnson","Florida Atlantic",2,166,83.0,2,1.00,209,104.5,1,0.50,15,7.5,26,13.0
"De'Andre Johnson","Texas Southern",1,151,151.0,0,0.00,-9,-9.0,0,0.00,16,16.0,30,30.0
"De'Angelo Ballard","Alabama A&M",2,218,109.0,1,0.50,63,31.5,0,0.00,26,13.0,76,38.0
"De'Auntre Smiley","Prairie View A&M",2,107,53.5,0,0.00,23,11.5,1,0.50,14,7.0,23,11.5
"Deacon Hill",Iowa,1,1152,1152.0,5,5.00,-114,-114.0,2,2.00,122,122.0,251,251.0
"Deacon Hill",Michigan,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deacon Hill","Utah Tech",1,412,412.0,2,2.00,5,5.0,1,1.00,36,36.0,75,75.0
"Deacon Hill",Wisconsin,1,NULL,NULL,NULL,NULL,-10,-10.0,0,0.00,NULL,NULL,NULL,NULL
"Dean DeNobile",Lafayette,3,6177,2059.0,46,15.33,199,66.3,9,3.00,548,182.7,835,278.3
"DeAndre Harris","Morgan State",4,452,113.0,2,0.50,-21,-5.3,1,0.25,40,10.0,76,19.0
"DeAngelo Hardy","Kennesaw State",1,0,0.0,0,0.00,26,26.0,0,0.00,0,0.0,1,1.0
"Deante Ruffin","Kent State",1,44,44.0,0,0.00,6,6.0,0,0.00,2,2.0,3,3.0
"Deljay Bailey",Grambling,1,440,440.0,0,0.00,42,42.0,2,2.00,39,39.0,72,72.0
"Delmon Williams",Hampton,1,51,51.0,0,0.00,-4,-4.0,0,0.00,5,5.0,15,15.0
"Dematrius Davis","Alabama State",2,1463,731.5,9,4.50,289,144.5,2,1.00,122,61.0,196,98.0
"Dematrius Davis",UTSA,1,NULL,NULL,NULL,NULL,3,3.0,0,0.00,NULL,NULL,NULL,NULL
"Demeatric Crenshaw","Tennessee State",1,NULL,NULL,NULL,NULL,6,6.0,0,0.00,NULL,NULL,NULL,NULL
"Demeatric Crenshaw","Youngstown State",2,628,314.0,5,2.50,189,94.5,2,1.00,49,24.5,104,52.0
"Demetrius Jones",Cincinnati,2,NULL,NULL,NULL,NULL,5,2.5,0,0.00,NULL,NULL,NULL,NULL
"Demetrius Jones","Notre Dame",1,4,4.0,0,0.00,28,28.0,0,0.00,1,1.0,3,3.0
"Demond Williams Jr.",Washington,2,3061,1530.5,22,11.00,711,355.5,6,3.00,245,122.5,328,164.0
"Demry Croft",Minnesota,2,708,354.0,4,2.00,347,173.5,4,2.00,58,29.0,139,69.5
"Demry Croft","Tennessee State",1,269,269.0,3,3.00,41,41.0,0,0.00,22,22.0,31,31.0
"Denard Robinson",Michigan,4,6152,1538.0,49,12.25,4449,1112.3,42,10.50,418,104.5,734,183.5
"DeNarius McGhee","Montana State",3,667,222.3,4,1.33,11,3.7,0,0.00,57,19.0,93,31.0
"Dennis Grosel","Boston College",3,2767,922.3,21,7.00,300,100.0,4,1.33,223,74.3,401,133.7
"Deon Anthony",Troy,2,1338,669.0,14,7.00,822,411.0,11,5.50,105,52.5,156,78.0
"Deondre Ford",Kansas,1,132,132.0,0,0.00,-3,-3.0,0,0.00,11,11.0,23,23.0
"Deondre Francois","Florida State",3,6291,2097.0,36,12.00,205,68.3,8,2.67,481,160.3,829,276.3
"Deondre Francois",Hampton,1,288,288.0,3,3.00,-10,-10.0,0,0.00,19,19.0,25,25.0
"Deonte Shorts",Southern,3,46,15.3,0,0.00,15,5.0,0,0.00,6,2.0,24,8.0
"Dequan Finn",Baylor,1,307,307.0,3,3.00,66,66.0,2,2.00,23,23.0,43,43.0
"Dequan Finn","Miami (OH)",1,1257,1257.0,7,7.00,384,384.0,4,4.00,89,89.0,156,156.0
"Dequan Finn",Toledo,5,7069,1413.8,63,12.60,1832,366.4,25,5.00,540,108.0,896,179.2
"Derek Carr","Fresno State",4,12842,3210.5,113,28.25,190,47.5,5,1.25,1086,271.5,1630,407.5
"Derek Green","Long Island University",1,1023,1023.0,2,2.00,116,116.0,0,0.00,89,89.0,142,142.0
"Derek Green",SMU,2,2,1.0,0,0.00,43,21.5,0,0.00,3,1.5,8,4.0
"Derek Kyler",Dartmouth,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Derek Rifenbury","Central Michigan",1,17,17.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,2,2.0
"Derek Robertson",Maine,3,3041,1013.7,25,8.33,-92,-30.7,0,0.00,268,89.3,424,141.3
"Derek Robertson",Monmouth,2,6376,3188.0,58,29.00,-89,-44.5,1,0.50,472,236.0,699,349.5
"Derek Thompson","North Texas",5,7427,1485.4,42,8.40,313,62.6,8,1.60,636,127.2,1055,211.0
"Dermaricus Davis",Hawai'i,1,10,10.0,0,0.00,50,50.0,0,0.00,1,1.0,3,3.0
"Derrick Ponder","Jackson State",2,185,92.5,1,0.50,-4,-2.0,0,0.00,27,13.5,55,27.5
"Derrius Vick",Ohio,4,3491,872.8,23,5.75,709,177.3,3,0.75,292,73.0,482,120.5
"Deshaun Watson",Clemson,3,10163,3387.7,90,30.00,1934,644.7,26,8.67,813,271.0,1206,402.0
"Deshawn Purdie",Charlotte,1,1802,1802.0,10,10.00,-130,-130.0,1,1.00,100,100.0,200,200.0
"Deshawn Purdie","Wake Forest",1,509,509.0,5,5.00,0,0.0,0,0.00,32,32.0,61,61.0
"DeShone Kizer","Notre Dame",2,5809,2904.5,47,23.50,992,496.0,18,9.00,423,211.5,696,348.0
"Desmond Ridder",Cincinnati,4,10239,2559.8,87,21.75,2202,550.5,28,7.00,810,202.5,1304,326.0
"Desmond Trotter","South Alabama",5,3828,765.6,29,5.80,337,67.4,4,0.80,321,64.2,509,101.8
"Desmond Young","Houston Christian",2,NULL,NULL,NULL,NULL,-10,-5.0,0,0.00,NULL,NULL,NULL,NULL
"Destin Wade",Kentucky,1,98,98.0,0,0.00,29,29.0,0,0.00,16,16.0,30,30.0
"Destin Wade","North Alabama",1,848,848.0,8,8.00,338,338.0,1,1.00,73,73.0,142,142.0
"Deuce Adams",Louisville,2,18,9.0,0,0.00,12,6.0,0,0.00,3,1.5,4,2.0
"Deuce Bailey","Missouri State",1,335,335.0,2,2.00,81,81.0,1,1.00,23,23.0,47,47.0
"Deuce Hogan",Iowa,1,2,2.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Deuce Hogan",Kentucky,1,19,19.0,0,0.00,NULL,NULL,NULL,NULL,6,6.0,7,7.0
"Deuce Hogan","New Mexico State",1,31,31.0,0,0.00,-3,-3.0,0,0.00,6,6.0,18,18.0
"Deuce Hogan",Nicholls,1,1038,1038.0,4,4.00,-41,-41.0,1,1.00,119,119.0,196,196.0
"Deuce Knight",Auburn,1,20,20.0,0,0.00,16,16.0,0,0.00,2,2.0,5,5.0
"Deuce Wallace",Vanderbilt,2,401,200.5,1,0.50,-31,-15.5,0,0.00,54,27.0,123,61.5
"Devante Kincade",Grambling,2,341,170.5,2,1.00,18,9.0,0,0.00,30,15.0,45,22.5
"Devante Kincade","Ole Miss",2,206,103.0,2,1.00,182,91.0,1,0.50,25,12.5,35,17.5
"Deven Sisler",Stonehill,1,8,8.0,0,0.00,23,23.0,0,0.00,1,1.0,2,2.0
"Deveon Bryant","Tennessee State",3,604,201.3,3,1.00,284,94.7,4,1.33,60,20.0,113,37.7
"Devin Adams",Auburn,2,-1,-0.5,0,0.00,7,3.5,0,0.00,1,0.5,2,1.0
"Devin Black",Bethune-Cookman,2,22,11.0,0,0.00,-3,-1.5,0,0.00,3,1.5,5,2.5
"Devin Brown",California,1,48,48.0,1,1.00,-15,-15.0,0,0.00,4,4.0,7,7.0
"Devin Brown","Ohio State",3,331,110.3,3,1.00,37,12.3,1,0.33,27,9.0,48,16.0
"Devin Burns",Maryland,2,47,23.5,0,0.00,70,35.0,1,0.50,3,1.5,4,2.0
"Devin Combs",Nevada,3,468,156.0,5,1.67,221,73.7,2,0.67,36,12.0,57,19.0
"Devin Farrell","Rhode Island",3,4147,1382.3,28,9.33,449,149.7,7,2.33,296,98.7,481,160.3
"Devin Gardner",Michigan,5,6336,1267.2,44,8.80,916,183.2,24,4.80,475,95.0,787,157.4
"Devin Kargman","Kent State",4,1161,290.3,8,2.00,-107,-26.8,0,0.00,103,25.8,210,52.5
"Devin Larsen","Western New Mexico",1,165,165.0,1,1.00,7,7.0,0,0.00,21,21.0,44,44.0
"Devin Leary",Kentucky,1,2746,2746.0,25,25.00,-60,-60.0,1,1.00,209,209.0,371,371.0
"Devin Leary","NC State",4,6796,1699.0,62,15.50,-19,-4.8,5,1.25,567,141.8,943,235.8
"Devin Lippold",McNeese,2,0,0.0,0,0.00,59,29.5,3,1.50,0,0.0,3,1.5
"Devin Page",Cornell,1,357,357.0,3,3.00,107,107.0,1,1.00,32,32.0,65,65.0
"Devin Powell",Nicholls,1,12,12.0,0,0.00,4,4.0,0,0.00,2,2.0,2,2.0
"Devin Powell",Tulane,4,1204,301.0,7,1.75,-43,-10.8,0,0.00,116,29.0,229,57.3
"Devin Sherwood","Youngstown State",1,47,47.0,0,0.00,10,10.0,0,0.00,8,8.0,8,8.0
"Devin Williams","Texas Southern",1,13,13.0,0,0.00,-1,-1.0,0,0.00,4,4.0,11,11.0
"Devlin Hodges",Samford,4,1249,312.3,8,2.00,47,11.8,0,0.00,117,29.3,185,46.3
"Devon Dampier","New Mexico",2,3293,1646.5,18,9.00,1485,742.5,23,11.50,266,133.0,454,227.0
"Devon Dampier",Utah,1,1375,1375.0,13,13.00,442,442.0,5,5.00,138,138.0,201,201.0
"Devon Modster",California,2,705,352.5,5,2.50,168,84.0,1,0.50,62,31.0,123,61.5
"Devon Modster",UCLA,1,671,671.0,4,4.00,34,34.0,0,0.00,51,51.0,79,79.0
"Devontae Payne","Eastern Michigan",1,217,217.0,0,0.00,-7,-7.0,0,0.00,22,22.0,52,52.0
"Dewann Ford","South Carolina State",2,47,23.5,0,0.00,-15,-7.5,0,0.00,3,1.5,16,8.0
"Dewayne Coleman",Army,3,380,126.7,3,1.00,440,146.7,4,1.33,31,10.3,52,17.3
"Dexter Williams II","Georgia Southern",1,248,248.0,3,3.00,45,45.0,1,1.00,19,19.0,30,30.0
"Dexter Williams II",Indiana,1,184,184.0,2,2.00,165,165.0,1,1.00,13,13.0,38,38.0
"Dexter Williams II","Kennesaw State",1,673,673.0,5,5.00,144,144.0,2,2.00,59,59.0,112,112.0
"Deymon Fleming","Charleston Southern",1,258,258.0,1,1.00,-13,-13.0,0,0.00,26,26.0,42,42.0
"Dez Thomas II",Georgetown,2,919,459.5,5,2.50,284,142.0,4,2.00,77,38.5,140,70.0
"Diego Pavia","New Mexico State",2,4415,2207.5,39,19.50,1427,713.5,13,6.50,321,160.5,555,277.5
"Diego Pavia",Vanderbilt,2,3991,1995.5,35,17.50,1258,629.0,13,6.50,316,158.0,500,250.0
"Dijon Jennings","Weber State",2,468,234.0,2,1.00,13,6.5,1,0.50,50,25.0,79,39.5
"Dillon Buechel",Duquesne,1,322,322.0,3,3.00,-17,-17.0,0,0.00,18,18.0,37,37.0
"Dillon Gabriel",Oklahoma,2,6828,3414.0,55,27.50,697,348.5,18,9.00,496,248.0,751,375.5
"Dillon Gabriel",Oregon,1,3857,3857.0,30,30.00,149,149.0,7,7.00,326,326.0,447,447.0
"Dillon Gabriel",UCF,3,7984,2661.3,70,23.33,372,124.0,8,2.67,549,183.0,907,302.3
"Dillon Markiewicz",Syracuse,1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Dillon Sterling-Cole","Arizona State",2,388,194.0,1,0.50,32,16.0,1,0.50,28,14.0,57,28.5
"Dino Maldonado","Mississippi Valley State",1,41,41.0,0,0.00,-9,-9.0,0,0.00,5,5.0,8,8.0
"Dino Maldonado","New Mexico State",1,513,513.0,4,4.00,68,68.0,0,0.00,37,37.0,66,66.0
"Diondre Borel","Utah State",4,6698,1674.5,36,9.00,1398,349.5,18,4.50,517,129.3,922,230.5
