player_name,college_team,nfl_seasons_played,career_nfl_passing_yards,avg_nfl_passing_yards_per_season,career_nfl_passing_tds,avg_nfl_passing_tds_per_season,career_nfl_rushing_yards,avg_nfl_rushing_yards_per_season,career_nfl_rushing_tds,avg_nfl_rushing_tds_per_season,career_nfl_completions,avg_nfl_completions_per_season,career_nfl_attempts,avg_nfl_attempts_per_season
"R. Johnson",NULL,1,54,54.0,0,0.00,15,15.0,0,0.00,6,6.0,13,13.0
"R. Lucas",NULL,1,1045,1045.0,4,4.00,128,128.0,2,2.00,92,92.0,160,160.0
"R. Mirer",NULL,1,761,761.0,2,2.00,77,77.0,1,1.00,74,74.0,155,155.0
R.Bartel,NULL,2,236,118.0,1,0.50,9,4.5,0,0.00,26,13.0,50,25.0
R.Cunningham,NULL,3,2897,965.7,17,5.67,183,61.0,2,0.67,252,84.0,413,137.7
R.Davey,NULL,3,88,29.3,0,0.00,-5,-1.7,0,0.00,8,2.7,18,6.0
R.Fasani,NULL,1,146,146.0,0,0.00,79,79.0,0,0.00,11,11.0,37,37.0
"R.Fasani (3rd QB)",NULL,1,25,25.0,0,0.00,16,16.0,0,0.00,4,4.0,7,7.0
R.Finley,NULL,2,638,319.0,3,1.50,143,71.5,1,0.50,58,29.0,119,59.5
R.Fitzpatrick,NULL,16,34982,2186.4,223,13.94,2625,164.1,21,1.31,3072,192.0,5060,316.3
R.Gannon,NULL,5,11607,2321.4,78,15.60,964,192.8,7,1.40,979,195.8,1622,324.4
R.Griffin,NULL,6,9182,1530.3,45,7.50,1768,294.7,10,1.67,792,132.0,1253,208.8
"R.Griffin III",NULL,2,191,95.5,0,0.00,61,30.5,0,0.00,19,9.5,38,19.0
R.Grossman,NULL,9,10988,1220.9,60,6.67,100,11.1,4,0.44,927,103.0,1686,187.3
R.Johnson,NULL,5,4437,887.4,20,4.00,660,132.0,2,0.40,396,79.2,648,129.6
R.Leaf,NULL,2,2315,1157.5,12,6.00,47,23.5,0,0.00,200,100.0,397,198.5
R.Leonard,NULL,1,0,0.0,0,0.00,1,1.0,0,0.00,0,0.0,2,2.0
R.Lindley,NULL,3,1454,484.7,4,1.33,7,2.3,0,0.00,156,52.0,302,100.7
R.Lucas,NULL,4,1929,482.3,14,3.50,200,50.0,2,0.50,184,46.0,314,78.5
R.Mallett,NULL,5,1835,367.0,9,1.80,-5,-1.0,1,0.20,190,38.0,345,69.0
R.Mirer,NULL,3,1694,564.7,7,2.33,95,31.7,1,0.33,147,49.0,262,87.3
R.Nassib,NULL,2,128,64.0,1,0.50,-3,-1.5,0,0.00,9,4.5,10,5.0
R.Peete,NULL,4,2759,689.8,17,4.25,12,3.0,0,0.00,236,59.0,409,102.3
R.Smith,NULL,2,234,117.0,0,0.00,0,0.0,0,0.00,23,11.5,45,22.5
R.Tannehill,NULL,11,35635,3239.5,223,20.27,2156,196.0,28,2.55,3132,284.7,4874,443.1
R.Wilson,NULL,14,50977,3641.2,380,27.14,6089,434.9,34,2.43,4243,303.1,6593,470.9
Ryan,NULL,1,252,252.0,0,0.00,4,4.0,0,0.00,27,27.0,44,44.0
"S. Beuerlein",NULL,2,779,389.5,6,3.00,5,2.5,0,0.00,65,32.5,112,56.0
"S. Covington",NULL,1,7,7.0,0,0.00,0,0.0,0,0.00,2,2.0,5,5.0
"S. Matthews",NULL,1,760,760.0,5,5.00,4,4.0,0,0.00,92,92.0,146,146.0
"S. Rosenfels",NULL,1,0,0.0,0,0.00,-9,-9.0,0,0.00,0,0.0,3,3.0
S.Beuerlein,NULL,4,8701,2175.3,57,14.25,247,61.8,4,1.00,703,175.8,1170,292.5
S.Bono,NULL,1,0,0.0,0,0.00,-2,-2.0,0,0.00,0,0.0,1,1.0
S.Bradford,NULL,8,19449,2431.1,103,12.88,340,42.5,2,0.25,1855,231.9,2967,370.9
S.Case,NULL,2,1491,745.5,4,2.00,258,129.0,4,2.00,133,66.5,260,130.0
S.Clifford,NULL,1,37,37.0,0,0.00,-2,-2.0,0,0.00,1,1.0,1,1.0
S.Covington,NULL,1,23,23.0,0,0.00,-4,-4.0,0,0.00,4,4.0,5,5.0
S.Darnold,NULL,8,18382,2297.8,111,13.88,1029,128.6,14,1.75,1599,199.9,2588,323.5
S.Ehlinger,NULL,2,573,286.5,3,1.50,96,48.0,0,0.00,64,32.0,101,50.5
S.Hill,NULL,8,5404,675.5,31,3.88,205,25.6,4,0.50,488,61.0,794,99.3
S.Howell,NULL,3,4139,1379.7,22,7.33,300,100.0,6,2.00,404,134.7,645,215.0
S.King,NULL,6,5057,842.8,28,4.67,466,77.7,5,0.83,460,76.7,830,138.3
S.Mannion,NULL,6,573,95.5,1,0.17,-3,-0.5,0,0.00,67,11.2,110,18.3
S.Matthews,NULL,4,3904,976.0,25,6.25,94,23.5,0,0.00,395,98.8,693,173.3
S.McGee,NULL,2,420,210.0,3,1.50,102,51.0,0,0.00,46,23.0,82,41.0
S.McNair,NULL,9,25440,2826.7,142,15.78,2505,278.3,29,3.22,2283,253.7,3725,413.9
S.Mitchell,NULL,3,1052,350.7,3,1.00,62,20.7,1,0.33,100,33.3,215,71.7
S.Rattler,NULL,2,2903,1451.5,12,6.00,313,156.5,0,0.00,304,152.0,484,242.0
S.Renfree,NULL,1,11,11.0,0,0.00,-4,-4.0,0,0.00,3,3.0,7,7.0
S.Rosenfels,NULL,7,4156,593.7,30,4.29,104,14.9,1,0.14,351,50.1,559,79.9
S.Stenstrom,NULL,1,536,536.0,0,0.00,15,15.0,0,0.00,54,54.0,100,100.0
S.Thompson,NULL,2,941,470.5,2,1.00,28,14.0,0,0.00,99,49.5,183,91.5
S.Tolzien,NULL,4,1065,266.3,2,0.50,57,14.3,1,0.25,88,22.0,146,36.5
S.Wallace,NULL,8,4947,618.4,31,3.88,290,36.3,1,0.13,468,58.5,788,98.5
S.Walsh,NULL,1,47,47.0,0,0.00,0,0.0,0,0.00,7,7.0,13,13.0
S.Wynn,NULL,2,585,292.5,1,0.50,76,38.0,0,0.00,70,35.0,152,76.0
S.Young,NULL,1,446,446.0,3,3.00,57,57.0,0,0.00,45,45.0,83,83.0
S.Zolak,NULL,1,0,0.0,0,0.00,-2,-2.0,0,0.00,0,0.0,4,4.0
Sh.Hill,NULL,3,2891,963.7,18,6.00,121,40.3,0,0.00,269,89.7,432,144.0
"T. Collins",NULL,3,187,62.3,1,0.33,6,2.0,0,0.00,17,5.7,22,7.3
"T. Couch",NULL,1,562,562.0,3,3.00,24,24.0,0,0.00,41,41.0,81,81.0
"T. Green",NULL,3,11724,3908.0,68,22.67,484,161.3,3,1.00,931,310.3,1546,515.3
"T. Maddox",NULL,1,2749,2749.0,12,12.00,13,13.0,0,0.00,236,236.0,407,407.0
"T. Martin",NULL,1,69,69.0,0,0.00,28,28.0,0,0.00,6,6.0,16,16.0
T.Aikman,NULL,2,4882,2441.0,24,12.00,23,11.5,1,0.50,441,220.5,740,370.0
T.Bagent,NULL,3,897,299.0,3,1.00,109,36.3,2,0.67,98,32.7,148,49.3
T.Banks,NULL,6,6982,1163.7,41,6.83,326,54.3,2,0.33,593,98.8,1096,182.7
T.Bouman,NULL,5,1905,381.0,13,2.60,94,18.8,0,0.00,147,29.4,264,52.8
T.Boykin,NULL,1,145,145.0,1,1.00,1,1.0,0,0.00,13,13.0,18,18.0
T.Boyle,NULL,6,1210,201.7,5,0.83,9,1.5,0,0.00,141,23.5,233,38.8
T.Brady,NULL,23,102616,4461.6,737,32.04,1256,54.6,35,1.52,8954,389.3,13973,607.5
T.Brandstater,NULL,1,0,0.0,0,0.00,0,0.0,0,0.00,0,0.0,2,2.0
T.Bray,NULL,2,18,9.0,0,0.00,0,0.0,0,0.00,1,0.5,6,3.0
T.Bridgewater,NULL,11,15269,1388.1,75,6.82,843,76.6,11,1.00,1390,126.4,2092,190.2
